skpID,lng,lat,place_id,formatted_address,administrative_area_level_3
55.json,-6.9646878,107.6821595,EjtKbC4gRGVyd2F0aSwgUmFuY2FzYXJpLCBLb3RhIEJhbmR1bmcsIEphd2EgQmFyYXQsIEluZG9uZXNpYQ,"Jl. Derwati, Rancasari, Kota Bandung, Jawa Barat, Indonesia",Rancasari
58.json,-6.9042999,107.6804222,ChIJD16y_GfdaC4RaXYxqxb2ppA,"Jl. Sindanglaya No.10, Pasir Impun, Mandalajati, Kota Bandung, Jawa Barat 40293, Indonesia",Mandalajati
63.json,-6.8922453,107.5945149,ChIJK60tL2HmaC4Rznyfo_sKYTg,"Jl. Sukagalih No.26, Cipedes, Sukajadi, Kota Bandung, Jawa Barat 40162, Indonesia",Sukajadi
91.json,-6.9159668,107.6992156,ElRKbC4gUnVtYWggU2FraXQgTm8uMjIsIFBha2VtaXRhbiwgQ2luYW1ibywgS290YSBCYW5kdW5nLCBKYXdhIEJhcmF0IDQ1NDc0LCBJbmRvbmVzaWE,"Jl. Rumah Sakit No.22, Pakemitan, Cinambo, Kota Bandung, Jawa Barat 45474, Indonesia",Cinambo
92.json,-6.9159668,107.6992156,ElRKbC4gUnVtYWggU2FraXQgTm8uMjIsIFBha2VtaXRhbiwgQ2luYW1ibywgS290YSBCYW5kdW5nLCBKYXdhIEJhcmF0IDQ1NDc0LCBJbmRvbmVzaWE,"Jl. Rumah Sakit No.22, Pakemitan, Cinambo, Kota Bandung, Jawa Barat 45474, Indonesia",Cinambo
93.json,-6.9292001,107.6005856,ChIJe4B30p_oaC4RUuk_XSE5Ffs,"Jl. Astana Anyar No.224, Nyengseret, Astanaanyar, Kota Bandung, Jawa Barat 40242, Indonesia",Astanaanyar
94.json,-6.9292001,107.6005856,ChIJe4B30p_oaC4RUuk_XSE5Ffs,"Jl. Astana Anyar No.224, Nyengseret, Astanaanyar, Kota Bandung, Jawa Barat 40242, Indonesia",Astanaanyar
95.json,-6.906413400000001,107.6140892,ChIJofjnwUnmaC4R7FgyOPz1-lA,"Jl. L. L. R. E. Martadinata No.45, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",Bandung Wetan
96.json,-6.906413400000001,107.6140892,ChIJofjnwUnmaC4R7FgyOPz1-lA,"Jl. L. L. R. E. Martadinata No.45, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",Bandung Wetan
97.json,-6.9163418,107.6335934,ChIJXyWHV8XnaC4RlIiZeM-B8Us,"Jl. Cianjur No.34, Kacapiring, Batununggal, Kota Bandung, Jawa Barat 40271, Indonesia",Batununggal
98.json,-6.933130599999999,107.626412,ChIJRxnJHHzoaC4RrKqJJo4HhsM,"Jl. R.A.A. Marta Negara No.4, Turangga, Lengkong, Kota Bandung, Jawa Barat 40264, Indonesia",Lengkong
99.json,-6.916811000000001,107.6341357,ChIJkwWETcXnaC4RbbozEx8IuWs,"Jl. Sukabumi No.17, Kacapiring, Batununggal, Kota Bandung, Jawa Barat 40271, Indonesia",Batununggal
